PROTOCOL;A_0,1lx;A_1lx;A_10lx;A_100lx;A_1000lx
;;;;;
Type:;LIGHTSOURCE;LIGHTSOURCE;LIGHTSOURCE;LIGHTSOURCE;LIGHTSOURCE
;;;;;
PeakBand:;780 [nm];780 [nm];780 [nm];780 [nm];780 [nm]
BandMin:;380 [nm];380 [nm];380 [nm];380 [nm];380 [nm]
BandMax:;780 [nm];780 [nm];780 [nm];780 [nm];780 [nm]
Resolution:;1 [nm];1 [nm];1 [nm];1 [nm];1 [nm]
;;;;;
BEGIN_DATA;;;;;
508nm;0.00087938;0.00879384;0.08793837;0.87938369;8.79383692
509nm;0.00088792;0.00887915;0.08879151;0.88791511;8.87915113
510nm;0.00089648;0.00896478;0.08964777;0.89647775;8.96477745
511nm;0.00090507;0.00905072;0.09050716;0.90507159;9.05071588
512nm;0.00091370;0.00913697;0.09136966;0.91369664;9.13696642
513nm;0.00092235;0.00922352;0.09223516;0.92235155;9.22351550
514nm;0.00093104;0.00931036;0.09310363;0.93103631;9.31036312
515nm;0.00093975;0.00939752;0.09397523;0.93975228;9.39752285
516nm;0.00094850;0.00948497;0.09484968;0.94849675;9.48496754
517nm;0.00095727;0.00957271;0.09572711;0.95727108;9.57271077
518nm;0.00096607;0.00966074;0.09660739;0.96607390;9.66073898
519nm;0.00097491;0.00974905;0.09749052;0.97490521;9.74905215
520nm;0.00098377;0.00983765;0.09837650;0.98376503;9.83765029
521nm;0.00099265;0.00992652;0.09926520;0.99265198;9.92651983
522nm;0.00100157;0.01001566;0.10015661;1.00156608;10.01566076
523nm;0.00101051;0.01010507;0.10105073;1.01050731;10.10507310
524nm;0.00101948;0.01019476;0.10194757;1.01947568;10.19475683
525nm;0.00102847;0.01028470;0.10284698;1.02846984;10.28469840
526nm;0.00103749;0.01037491;0.10374911;1.03749114;10.37491136
527nm;0.00104654;0.01046537;0.10465369;1.04653686;10.46536858
528nm;0.00105561;0.01055608;0.10556084;1.05560836;10.55608363
529nm;0.00106470;0.01064704;0.10647043;1.06470429;10.64704294
530nm;0.00107382;0.01073825;0.10738247;1.07382465;10.73824651
531nm;0.00108297;0.01082969;0.10829694;1.08296943;10.82969434
532nm;0.00109214;0.01092137;0.10921373;1.09213729;10.92137285
533nm;0.00110133;0.01101330;0.11013296;1.10132956;11.01329563
534nm;0.00111054;0.01110545;0.11105449;1.11054491;11.10544909
535nm;0.00111978;0.01119782;0.11197820;1.11978197;11.19781967
536nm;0.00112904;0.01129042;0.11290421;1.12904209;11.29042095
537nm;0.00113832;0.01138323;0.11383226;1.13832258;11.38322577
538nm;0.00114763;0.01147626;0.11476261;1.14762613;11.47626128
539nm;0.00115695;0.01156951;0.11569514;1.15695139;11.56951391
540nm;0.00116630;0.01166296;0.11662957;1.16629565;11.66295651
541nm;0.00117566;0.01175662;0.11756616;1.17566162;11.75661624
542nm;0.00118505;0.01185047;0.11850466;1.18504659;11.85046595
543nm;0.00119445;0.01194452;0.11944519;1.19445192;11.94451920
544nm;0.00120388;0.01203878;0.12038776;1.20387760;12.03877601
545nm;0.00121332;0.01213321;0.12133209;1.21332092;12.13320922
546nm;0.00122278;0.01222783;0.12227832;1.22278324;12.22783242
547nm;0.00123226;0.01232263;0.12322632;1.23226320;12.32263202
548nm;0.00124176;0.01241761;0.12417608;1.24176080;12.41760803
549nm;0.00125128;0.01251277;0.12512774;1.25127740;12.51277402
550nm;0.00126081;0.01260810;0.12608103;1.26081029;12.60810285
551nm;0.00127036;0.01270359;0.12703595;1.27035945;12.70359452
552nm;0.00127992;0.01279925;0.12799249;1.27992490;12.79924903
553nm;0.00128951;0.01289507;0.12895066;1.28950664;12.89506638
554nm;0.00129910;0.01299103;0.12991033;1.29910330;12.99103299
555nm;0.00130872;0.01308716;0.13087162;1.30871625;13.08716245
556nm;0.00131834;0.01318344;0.13183441;1.31834412;13.18344118
557nm;0.00132799;0.01327986;0.13279856;1.32798556;13.27985560
558nm;0.00133764;0.01337642;0.13376419;1.33764193;13.37641930
559nm;0.00134731;0.01347311;0.13473105;1.34731051;13.47310512
560nm;0.00135699;0.01356994;0.13569940;1.35699402;13.56994021
561nm;0.00136670;0.01366697;0.13666965;1.36669653;13.66696529
562nm;0.00137640;0.01376399;0.13763990;1.37639904;13.76399036
563nm;0.00138612;0.01386115;0.13861151;1.38611511;13.86115113
564nm;0.00139586;0.01395858;0.13958583;1.39585833;13.95858330
565nm;0.00140560;0.01405602;0.14056015;1.40560155;14.05601547
566nm;0.00141536;0.01415358;0.14153583;1.41535833;14.15358334
567nm;0.00142512;0.01425115;0.14251151;1.42511512;14.25115121
568nm;0.00143490;0.01434899;0.14348990;1.43489905;14.34899048
569nm;0.00144468;0.01444683;0.14446830;1.44468297;14.44682975
570nm;0.00145448;0.01454480;0.14544805;1.45448047;14.54480472
571nm;0.00146428;0.01464278;0.14642780;1.46427797;14.64277969
572nm;0.00147410;0.01474103;0.14741026;1.47410261;14.74102605
573nm;0.00148393;0.01483927;0.14839272;1.48392724;14.83927242
574nm;0.00149375;0.01493752;0.14937519;1.49375188;14.93751879
575nm;0.00150359;0.01503590;0.15035901;1.50359009;15.03590085
576nm;0.00151344;0.01513442;0.15134419;1.51344186;15.13441862
577nm;0.00152329;0.01523294;0.15232936;1.52329364;15.23293639
578nm;0.00153316;0.01533159;0.15331590;1.53315899;15.33158985
579nm;0.00154302;0.01543024;0.15430243;1.54302433;15.43024332
580nm;0.00155289;0.01552890;0.15528897;1.55288968;15.52889678
581nm;0.00156277;0.01562769;0.15627686;1.56276859;15.62768595
582nm;0.00157266;0.01572661;0.15726611;1.57266108;15.72661081
583nm;0.00158255;0.01582554;0.15825536;1.58255357;15.82553568
584nm;0.00159245;0.01592446;0.15924461;1.59244605;15.92446054
585nm;0.00160234;0.01602339;0.16023385;1.60233854;16.02338540
586nm;0.00161224;0.01612245;0.16122446;1.61224460;16.12244597
587nm;0.00162215;0.01622151;0.16221507;1.62215065;16.22150653
588nm;0.00163206;0.01632057;0.16320567;1.63205671;16.32056709
589nm;0.00164198;0.01641976;0.16419763;1.64197634;16.41976336
590nm;0.00165188;0.01651882;0.16518824;1.65188239;16.51882392
591nm;0.00166180;0.01661802;0.16618020;1.66180202;16.61802018
592nm;0.00167172;0.01671722;0.16717216;1.67172164;16.71721645
593nm;0.00168164;0.01681641;0.16816413;1.68164127;16.81641271
594nm;0.00169156;0.01691561;0.16915609;1.69156090;16.91560897
595nm;0.00170148;0.01701481;0.17014805;1.70148052;17.01480524
596nm;0.00171141;0.01711414;0.17114137;1.71141372;17.11413720
597nm;0.00172133;0.01721333;0.17213333;1.72133335;17.21333346
598nm;0.00173125;0.01731253;0.17312530;1.73125297;17.31252972
599nm;0.00174119;0.01741186;0.17411862;1.74118617;17.41186169
600nm;0.00175111;0.01751106;0.17511058;1.75110579;17.51105795
601nm;0.00176103;0.01761025;0.17610254;1.76102542;17.61025421
602nm;0.00177095;0.01770945;0.17709450;1.77094505;17.70945048
603nm;0.00178086;0.01780865;0.17808647;1.78086467;17.80864674
604nm;0.00179077;0.01790771;0.17907707;1.79077073;17.90770730
605nm;0.00180069;0.01800690;0.18006904;1.80069036;18.00690356
606nm;0.00181060;0.01810596;0.18105964;1.81059641;18.10596413
607nm;0.00182050;0.01820502;0.18205025;1.82050247;18.20502469
608nm;0.00183041;0.01830409;0.18304085;1.83040853;18.30408526
609nm;0.00184031;0.01840315;0.18403146;1.84031458;18.40314582
610nm;0.00185021;0.01850207;0.18502071;1.85020707;18.50207068
611nm;0.00186010;0.01860100;0.18600996;1.86009955;18.60099555
612nm;0.00186999;0.01869992;0.18699920;1.86999204;18.69992041
613nm;0.00187987;0.01879871;0.18798710;1.87987096;18.79870958
614nm;0.00188975;0.01889750;0.18897499;1.88974987;18.89749874
615nm;0.00189963;0.01899629;0.18996288;1.89962879;18.99628791
616nm;0.00190949;0.01909494;0.19094941;1.90949414;19.09494137
617nm;0.00191935;0.01919346;0.19193459;1.91934591;19.19345914
618nm;0.00192920;0.01929198;0.19291977;1.92919769;19.29197690
619nm;0.00193905;0.01939049;0.19390495;1.93904947;19.39049467
620nm;0.00194889;0.01948888;0.19488877;1.94888767;19.48887673
621nm;0.00195873;0.01958726;0.19587259;1.95872588;19.58725880
622nm;0.00196855;0.01968551;0.19685505;1.96855052;19.68550517
623nm;0.00197836;0.01978362;0.19783616;1.97836158;19.78361584
624nm;0.00198817;0.01988173;0.19881727;1.98817265;19.88172650
625nm;0.00199797;0.01997970;0.19979701;1.99797015;19.97970147
626nm;0.00200777;0.02007768;0.20077676;2.00776764;20.07767644
627nm;0.00201755;0.02017552;0.20175516;2.01755157;20.17551571
628nm;0.00202732;0.02027322;0.20273219;2.02732193;20.27321928
629nm;0.00203708;0.02037079;0.20370787;2.03707871;20.37078715
630nm;0.00204684;0.02046836;0.20468355;2.04683550;20.46835502
631nm;0.00205658;0.02056579;0.20565787;2.05657872;20.56578719
632nm;0.00206631;0.02066308;0.20663084;2.06630837;20.66308366
633nm;0.00207604;0.02076038;0.20760380;2.07603801;20.76038013
634nm;0.00208575;0.02085754;0.20857541;2.08575409;20.85754090
635nm;0.00209544;0.02095443;0.20954430;2.09544303;20.95443028
636nm;0.00210513;0.02105132;0.21051320;2.10513197;21.05131965
637nm;0.00211481;0.02114807;0.21148073;2.11480733;21.14807333
638nm;0.00212448;0.02124483;0.21244827;2.12448270;21.24482700
639nm;0.00213413;0.02134131;0.21341309;2.13413093;21.34130927
640nm;0.00214377;0.02143766;0.21437656;2.14376558;21.43765585
641nm;0.00215340;0.02153400;0.21534002;2.15340024;21.53400242
642nm;0.00216301;0.02163008;0.21630078;2.16300776;21.63007760
643nm;0.00217260;0.02172602;0.21726017;2.17260171;21.72601708
644nm;0.00218220;0.02182196;0.21821957;2.18219566;21.82195656
645nm;0.00219176;0.02191762;0.21917625;2.19176246;21.91762463
646nm;0.00220133;0.02201329;0.22013293;2.20132927;22.01329271
647nm;0.00221087;0.02210869;0.22108689;2.21086894;22.10868939
648nm;0.00222040;0.02220395;0.22203950;2.22039504;22.20395037
649nm;0.00222991;0.02229908;0.22299076;2.22990757;22.29907565
650nm;0.00223942;0.02239420;0.22394201;2.23942009;22.39420093
651nm;0.00224889;0.02248892;0.22488919;2.24889191;22.48891912
652nm;0.00225836;0.02258364;0.22583637;2.25836373;22.58363730
653nm;0.00226782;0.02267822;0.22678220;2.26782198;22.67821978
654nm;0.00227725;0.02277253;0.22772531;2.27725309;22.77253087
655nm;0.00228667;0.02286671;0.22866706;2.28667063;22.86670625
656nm;0.00229607;0.02296075;0.22960746;2.29607459;22.96074594
657nm;0.00230547;0.02305465;0.23054650;2.30546499;23.05464992
658nm;0.00231484;0.02314842;0.23148418;2.31484182;23.14841821
659nm;0.00232419;0.02324192;0.23241915;2.32419151;23.24191510
660nm;0.00233353;0.02333528;0.23335276;2.33352763;23.33527629
661nm;0.00234285;0.02342850;0.23428502;2.34285018;23.42850178
662nm;0.00235215;0.02352146;0.23521456;2.35214559;23.52145587
663nm;0.00236143;0.02361427;0.23614274;2.36142743;23.61427426
664nm;0.00237070;0.02370696;0.23706957;2.37069570;23.70695695
665nm;0.00237994;0.02379937;0.23799368;2.37993682;23.79936824
666nm;0.00238916;0.02389164;0.23891644;2.38916438;23.89164384
667nm;0.00239836;0.02398365;0.23983648;2.39836480;23.98364803
668nm;0.00240757;0.02407565;0.24075652;2.40756522;24.07565223
669nm;0.00241672;0.02416725;0.24167249;2.41672493;24.16724932
670nm;0.00242588;0.02425885;0.24258846;2.42588464;24.25884642
671nm;0.00243500;0.02435004;0.24350036;2.43500364;24.35003642
672nm;0.00244412;0.02444123;0.24441226;2.44412264;24.44122642
673nm;0.00245321;0.02453215;0.24532145;2.45321450;24.53214502
674nm;0.00246228;0.02462279;0.24622792;2.46227922;24.62279222
675nm;0.00247133;0.02471330;0.24713304;2.47133037;24.71330372
676nm;0.00248035;0.02480354;0.24803544;2.48035438;24.80354382
677nm;0.00248936;0.02489365;0.24893648;2.48936482;24.89364822
678nm;0.00249835;0.02498348;0.24983481;2.49834812;24.98348123
679nm;0.00250732;0.02507318;0.25073179;2.50731785;25.07317853
680nm;0.00251626;0.02516260;0.25162604;2.51626044;25.16260444
681nm;0.00252519;0.02525189;0.25251895;2.52518946;25.25189464
682nm;0.00253409;0.02534091;0.25340913;2.53409135;25.34091345
683nm;0.00254297;0.02542966;0.25429661;2.54296609;25.42966086
684nm;0.00255183;0.02551827;0.25518273;2.55182726;25.51827257
685nm;0.00256066;0.02560661;0.25606613;2.56066129;25.60661288
686nm;0.00256947;0.02569468;0.25694682;2.56946818;25.69468179
687nm;0.00257826;0.02578262;0.25782615;2.57826150;25.78261501
688nm;0.00258703;0.02587028;0.25870277;2.58702768;25.87027682
689nm;0.00259577;0.02595767;0.25957667;2.59576672;25.95766723
690nm;0.00260449;0.02604492;0.26044922;2.60449220;26.04492195
691nm;0.00261319;0.02613191;0.26131905;2.61319053;26.13190527
692nm;0.00262186;0.02621862;0.26218617;2.62186172;26.21861718
693nm;0.00263052;0.02630519;0.26305193;2.63051934;26.30519340
694nm;0.00263914;0.02639136;0.26391363;2.63913625;26.39136252
695nm;0.00264774;0.02647740;0.26477396;2.64773959;26.47739594
696nm;0.00265632;0.02656316;0.26563158;2.65631580;26.56315797
697nm;0.00266488;0.02664878;0.26648784;2.66487843;26.64878429
698nm;0.00267340;0.02673400;0.26734004;2.67340035;26.73400351
699nm;0.00268191;0.02681909;0.26819087;2.68190870;26.81908704
700nm;0.00269039;0.02690390;0.26903899;2.69038992;26.90389917
701nm;0.00269884;0.02698844;0.26988440;2.69884399;26.98843989
702nm;0.00270728;0.02707284;0.27072845;2.70728449;27.07284492
703nm;0.00271568;0.02715684;0.27156843;2.71568429;27.15684285
704nm;0.00272407;0.02724071;0.27240705;2.72407051;27.24070508
705nm;0.00273243;0.02732430;0.27324296;2.73242959;27.32429591
706nm;0.00274075;0.02740748;0.27407480;2.74074796;27.40747965
707nm;0.00274905;0.02749053;0.27490528;2.74905277;27.49052768
708nm;0.00275734;0.02757344;0.27573440;2.75734400;27.57344002
709nm;0.00276559;0.02765595;0.27655945;2.76559453;27.65594525
710nm;0.00277382;0.02773818;0.27738179;2.77381791;27.73817909
711nm;0.00278201;0.02782014;0.27820142;2.78201415;27.82014153
712nm;0.00279020;0.02790197;0.27901968;2.79019683;27.90196827
713nm;0.00279834;0.02798339;0.27983388;2.79833879;27.98338791
714nm;0.00280647;0.02806467;0.28064672;2.80646719;28.06467185
715nm;0.00281455;0.02814555;0.28145549;2.81455487;28.14554870
716nm;0.00282263;0.02822629;0.28226290;2.82262898;28.22628984
717nm;0.00283068;0.02830676;0.28306760;2.83067596;28.30675958
718nm;0.00283868;0.02838682;0.28386822;2.83868222;28.38682223
719nm;0.00284667;0.02846675;0.28466749;2.84667492;28.46674918
720nm;0.00285464;0.02854640;0.28546405;2.85464047;28.54640473
721nm;0.00286257;0.02862565;0.28625653;2.86256532;28.62565318
722nm;0.00287048;0.02870477;0.28704766;2.87047659;28.70476593
723nm;0.00287835;0.02878347;0.28783472;2.87834716;28.78347158
724nm;0.00288620;0.02886204;0.28862042;2.88620415;28.86204154
725nm;0.00289403;0.02894034;0.28940340;2.89403401;28.94034009
726nm;0.00290182;0.02901823;0.29018232;2.90182316;29.01823155
727nm;0.00290960;0.02909599;0.29095987;2.90959873;29.09598731
728nm;0.00291733;0.02917334;0.29173336;2.91733360;29.17333597
729nm;0.00292504;0.02925041;0.29250413;2.92504132;29.25041323
730nm;0.00293274;0.02932735;0.29327355;2.93273548;29.32735479
731nm;0.00294039;0.02940389;0.29403889;2.94038893;29.40388925
